COD LOCAL,NOMBRELOCAL,FECHA,VENTANETA
"1839,FR_ROSSANA GORDON,2024-02-01 ,""472,233523"""
"1839,FR_ROSSANA GORDON,2024-02-02 ,""395,835654"""
"1839,FR_ROSSANA GORDON,2024-02-03 ,""336,685091"""
"1839,FR_ROSSANA GORDON,2024-02-04 ,""402,200227"""
"1839,FR_ROSSANA GORDON,2024-02-05 ,""559,031416"""
"1839,FR_ROSSANA GORDON,2024-02-06 ,""434,642829"""
"1839,FR_ROSSANA GORDON,2024-02-07 ,""558,01975"""
"2066,FR_MAVEL SIGUENCIA,2024-02-01 ,""1557,979697"""
"2066,FR_MAVEL SIGUENCIA,2024-02-02 ,""924,959566"""
"2066,FR_MAVEL SIGUENCIA,2024-02-03 ,""1006,168786"""
"2066,FR_MAVEL SIGUENCIA,2024-02-04 ,""1085,475361"""
"2066,FR_MAVEL SIGUENCIA,2024-02-05 ,""1588,048096"""
"2066,FR_MAVEL SIGUENCIA,2024-02-06 ,""970,301007"""
"2066,FR_MAVEL SIGUENCIA,2024-02-07 ,""1153,315859"""
"2068,FR_ROMERO GUADALUPE,2024-02-01 ,""510,276364"""
"2068,FR_ROMERO GUADALUPE,2024-02-02 ,""468,743823"""
"2068,FR_ROMERO GUADALUPE,2024-02-03 ,""187,315037"""
"2068,FR_ROMERO GUADALUPE,2024-02-04 ,""923,203323"""
"2068,FR_ROMERO GUADALUPE,2024-02-05 ,""768,329502"""
"2068,FR_ROMERO GUADALUPE,2024-02-06 ,""724,061631"""
"2068,FR_ROMERO GUADALUPE,2024-02-07 ,""549,090226"""
"2076,FR_CHERI AVILA,2024-02-01 ,""193,255507"""
"2076,FR_CHERI AVILA,2024-02-02 ,""107,236368"""
"2076,FR_CHERI AVILA,2024-02-03 ,""155,323585"""
"2076,FR_CHERI AVILA,2024-02-04 ,""176,07955"""
"2076,FR_CHERI AVILA,2024-02-05 ,""282,103147"""
"2076,FR_CHERI AVILA,2024-02-06 ,""139,439735"""
"2076,FR_CHERI AVILA,2024-02-07 ,""106,39874"""
"71782, FR- CARLOS MALDONADO,2024-02-01 ,""318,034496"""
"71782, FR- CARLOS MALDONADO,2024-02-02 ,""230,50092"""
"71782, FR- CARLOS MALDONADO,2024-02-03 ,""257,681774"""
"71782, FR- CARLOS MALDONADO,2024-02-04 ,""272,616604"""
"71782, FR- CARLOS MALDONADO,2024-02-05 ,""396,676825"""
"71782, FR- CARLOS MALDONADO,2024-02-06 ,""354,766597"""
"71782, FR- CARLOS MALDONADO,2024-02-07 ,""195,512976"""
"71993,FR_SAN PEDRO PASCUAL,2024-02-01 ,""571,632307"""
"71993,FR_SAN PEDRO PASCUAL,2024-02-02 ,""313,90991"""
"71993,FR_SAN PEDRO PASCUAL,2024-02-03 ,""519,144557"""
"71993,FR_SAN PEDRO PASCUAL,2024-02-04 ,""294,973919"""
"71993,FR_SAN PEDRO PASCUAL,2024-02-05 ,""412,784998"""
"71993,FR_SAN PEDRO PASCUAL,2024-02-06 ,""323,610428"""
"71993,FR_SAN PEDRO PASCUAL,2024-02-07 ,""271,309644"""
"72006,FR_EL ENCANTO,2024-02-01 ,""18,73"""
"72006,FR_EL ENCANTO,2024-02-02 ,""6,178214"""
"72006,FR_EL ENCANTO,2024-02-03 ,""45,375457"""
"72006,FR_EL ENCANTO,2024-02-04 ,""9,64"""
"72006,FR_EL ENCANTO,2024-02-05 ,""33,09"""
"72006,FR_EL ENCANTO,2024-02-06 ,""61,86"""
"72006,FR_EL ENCANTO,2024-02-07 ,""38,945714"""
"72011,FR_SAN JUAN DE CALDERON,2024-02-01 ,""583,003861"""
"72011,FR_SAN JUAN DE CALDERON,2024-02-02 ,""232,541442"""
"72011,FR_SAN JUAN DE CALDERON,2024-02-03 ,""459,984888"""
"72011,FR_SAN JUAN DE CALDERON,2024-02-04 ,""252,914534"""
"72011,FR_SAN JUAN DE CALDERON,2024-02-05 ,""698,197596"""
"72011,FR_SAN JUAN DE CALDERON,2024-02-06 ,""421,400081"""
"72011,FR_SAN JUAN DE CALDERON,2024-02-07 ,""359,916226"""
"72013,FR_LA GATAZO,2024-02-01 ,""939,392457"""
"72013,FR_LA GATAZO,2024-02-02 ,""533,447005"""
"72013,FR_LA GATAZO,2024-02-03 ,""444,6308"""
"72013,FR_LA GATAZO,2024-02-04 ,""327,681727"""
"72013,FR_LA GATAZO,2024-02-05 ,""711,259832"""
"72013,FR_LA GATAZO,2024-02-06 ,""739,905187"""
"72013,FR_LA GATAZO,2024-02-07 ,""377,709795"""
"72018,FR_SANGAY,2024-02-01 ,""532,124401"""
"72018,FR_SANGAY,2024-02-02 ,""398,653095"""
"72018,FR_SANGAY,2024-02-03 ,""428,971844"""
"72018,FR_SANGAY,2024-02-04 ,""451,486416"""
"72018,FR_SANGAY,2024-02-05 ,""668,287929"""
"72018,FR_SANGAY,2024-02-06 ,""500,347267"""
"72018,FR_SANGAY,2024-02-07 ,""361,838001"""
"72023,FR_TABACUNDO,2024-02-01 ,""592,530752"""
"72023,FR_TABACUNDO,2024-02-02 ,""655,087217"""
"72023,FR_TABACUNDO,2024-02-03 ,""462,620713"""
"72023,FR_TABACUNDO,2024-02-04 ,""497,731372"""
"72023,FR_TABACUNDO,2024-02-05 ,""1805,567584"""
"72023,FR_TABACUNDO,2024-02-06 ,""591,468749"""
"72023,FR_TABACUNDO,2024-02-07 ,""590,72464"""
"72028,FR_CAUPICHO,2024-02-01 ,""681,574827"""
"72028,FR_CAUPICHO,2024-02-02 ,""571,752826"""
"72028,FR_CAUPICHO,2024-02-03 ,""460,271791"""
"72028,FR_CAUPICHO,2024-02-04 ,""572,72543"""
"72028,FR_CAUPICHO,2024-02-05 ,""816,168059"""
"72028,FR_CAUPICHO,2024-02-06 ,""616,980257"""
"72028,FR_CAUPICHO,2024-02-07 ,""515,650805"""
"72033,FR_CARLOS MANTILLA,2024-02-01 ,""516,049652"""
"72033,FR_CARLOS MANTILLA,2024-02-02 ,""544,843757"""
"72033,FR_CARLOS MANTILLA,2024-02-03 ,""560,136069"""
"72033,FR_CARLOS MANTILLA,2024-02-04 ,""592,93258"""
"72033,FR_CARLOS MANTILLA,2024-02-05 ,""863,417514"""
"72033,FR_CARLOS MANTILLA,2024-02-06 ,""444,333531"""
"72033,FR_CARLOS MANTILLA,2024-02-07 ,""480,791067"""
"72040,FR_RUMIURCO,2024-02-01 ,""806,384609"""
"72040,FR_RUMIURCO,2024-02-02 ,""468,356902"""
"72040,FR_RUMIURCO,2024-02-03 ,""723,244478"""
"72040,FR_RUMIURCO,2024-02-04 ,""602,330596"""
